Voxel_No,V_b,K_1,k_2,k_3,k_4,K_i,model
0,0.09350331,0.036357522,0.8443549,0.12038322,0.022295745,0.0045368117,k4 non-zero
0,0.06601015,0.017411998,0.114293694,0.690403,0.0,0.014938915,k4 zero
0,0.018532028,0.27216992,0.80401397,0.05533633,0.0,0.017525896,k4 zero
0,0.07440882,0.030952109,0.39501658,0.50405896,0.0025511372,0.017353034,k4 non-zero
0,0.046493262,0.23734389,0.8536157,0.034851603,0.0,0.009310207,k4 zero
0,0.02626089,0.07448765,0.19299686,0.019082308,0.0,0.0067021963,k4 zero
0,0.019352818,0.11785273,0.48049513,0.17233948,0.008455823,0.031111522,k4 non-zero
0,0.041291058,0.17034815,0.37024832,0.010008214,0.019465504,0.0044835014,k4 non-zero
0,0.016471064,0.06064539,0.14070761,0.4083314,0.039237533,0.045103204,k4 non-zero
0,0.034404095,0.34433714,0.89543337,0.0029701805,0.012761841,0.001138401,k4 non-zero
0,0.033279456,0.045673758,0.052062236,0.0964075,0.017918319,0.029657848,k4 non-zero
0,0.037358236,0.040549207,0.34330997,0.28475854,0.03417876,0.018384513,k4 non-zero
0,0.011472964,0.13173644,0.428785,0.07014142,0.0,0.018520126,k4 zero
0,0.007242486,0.10260779,0.6411029,0.055193696,0.0030984585,0.008133464,k4 non-zero
0,0.041549467,0.091307625,0.46218932,0.21066403,0.0,0.028587556,k4 zero
0,0.010961659,0.08963261,0.5588223,0.048635844,0.0,0.0071763922,k4 zero
0,0.0072490117,0.07320777,0.27475253,0.035449896,0.0068290904,0.008366177,k4 non-zero
0,0.039741557,0.09645715,0.60122365,0.031549137,0.010359095,0.0048092143,k4 non-zero
0,0.082339644,0.16459268,0.60117567,0.06476111,0.018248916,0.016006332,k4 non-zero
0,0.012129902,0.06644985,0.44045246,0.18408358,0.0080806855,0.019586263,k4 non-zero
0,0.08548176,0.24628286,0.96095663,0.019190446,0.0,0.004822009,k4 zero
0,0.02900677,0.057991616,0.50565,0.35027733,0.0,0.023732329,k4 zero
0,0.021943433,0.038435392,0.016660666,0.72421646,0.0,0.037571065,k4 zero
0,0.06355526,0.03805799,0.45155326,0.2806183,0.022668047,0.014586429,k4 non-zero
0,0.08349325,0.28282338,0.9257755,0.01100862,0.0,0.0033235995,k4 zero
0,0.044815764,0.0624362,0.66301274,0.1091184,0.0,0.008823551,k4 zero
0,0.09616123,0.13334821,0.41077888,0.026828209,0.012264567,0.008175127,k4 non-zero
0,0.07552753,0.13761452,0.7000721,0.009017749,0.0022683046,0.001750093,k4 non-zero
0,0.07272049,0.08755197,0.73832816,0.09616052,0.012590484,0.010088864,k4 non-zero
0,0.016784046,0.32010794,0.8003645,0.014315898,0.0,0.0056250677,k4 zero
0,0.02938329,0.054922476,0.06849254,0.18492498,0.0029391618,0.04007828,k4 non-zero
0,0.022879174,0.24193585,0.792456,0.020938925,0.0,0.006228065,k4 zero
0,0.015738612,0.13989572,0.6206948,0.1141681,0.012011483,0.021734161,k4 non-zero
0,0.09817141,0.0986319,0.4092554,0.03171441,0.0,0.007093576,k4 zero
0,0.021369115,0.08657607,0.6332156,0.22807659,0.0,0.022925986,k4 zero
